# TITLE= "qso_100.lineC4.dat"
# Coord_Sys CYLIND
x z var inwind i j
2.2142e+16 1.0349e+17 0.00000e+00  -1   0 101
2.2142e+16 1.0851e+17 0.00000e+00  -1   0 102
2.2142e+16 1.1377e+17 0.00000e+00  -1   0 103
2.2142e+16 1.1929e+17 0.00000e+00  -1   0 104
2.2142e+16 1.2508e+17 0.00000e+00  -1   0 105
2.2142e+16 1.3115e+17 0.00000e+00  -1   0 106
2.2142e+16 1.3751e+17 0.00000e+00  -1   0 107
2.2142e+16 1.4418e+17 0.00000e+00  -1   0 108
2.2142e+16 1.5117e+17 0.00000e+00  -1   0 109
2.2142e+16 1.5851e+17 0.00000e+00  -1   0 110
2.2142e+16 1.6620e+17 0.00000e+00  -1   0 111
2.2142e+16 1.7426e+17 0.00000e+00  -1   0 112
2.2142e+16 1.8271e+17 0.00000e+00  -1   0 113
2.2142e+16 1.9158e+17 0.00000e+00  -1   0 114
2.2142e+16 2.0087e+17 0.00000e+00  -1   0 115
2.2142e+16 2.1061e+17 0.00000e+00  -1   0 116
2.2142e+16 2.2083e+17 0.00000e+00  -1   0 117
2.2142e+16 2.3154e+17 0.00000e+00  -1   0 118
2.2142e+16 2.4277e+17 0.00000e+00  -1   0 119
2.2142e+16 2.5455e+17 0.00000e+00  -1   0 120
2.2142e+16 2.6690e+17 0.00000e+00  -1   0 121
2.2142e+16 2.7985e+17 0.00000e+00  -1   0 122
2.2142e+16 2.9342e+17 0.00000e+00  -1   0 123
2.2142e+16 3.0765e+17 0.00000e+00  -1   0 124
2.2142e+16 3.2258e+17 0.00000e+00  -1   0 125
2.2142e+16 3.3823e+17 0.00000e+00  -1   0 126
2.2142e+16 3.5463e+17 0.00000e+00  -1   0 127
2.2142e+16 3.7184e+17 0.00000e+00  -1   0 128
2.2142e+16 3.8987e+17 0.00000e+00  -1   0 129
2.2142e+16 4.0879e+17 0.00000e+00  -1   0 130
2.2142e+16 4.2862e+17 0.00000e+00  -1   0 131
2.2142e+16 4.4941e+17 0.00000e+00  -1   0 132
